,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07411084175109864,0.01466775283006423,0.0013965606689453126,0.00020609995297968562,1,50,"{'learning_rate': 1, 'n_estimators': 50}",0.9479768786127167,0.9409722222222222,0.9361207897793263,0.9406976744186046,0.951048951048951,0.9433611884865367,0.0053932267466144015,19
1,0.05291051864624023,0.008302033016685693,0.0011102676391601563,0.00017527183536734906,1,100,"{'learning_rate': 1, 'n_estimators': 100}",0.9514450867052023,0.9421296296296297,0.9384436701509872,0.9395348837209302,0.9522144522144522,0.9447539461467038,0.005903570664880684,12
2,0.059914016723632814,0.007804228979375274,0.0012687206268310546,0.00016580750446871343,1,150,"{'learning_rate': 1, 'n_estimators': 150}",0.9502890173410404,0.9502314814814815,0.9361207897793263,0.9406976744186046,0.9498834498834499,0.9454503249767874,0.005924935542520408,6
3,0.05212879180908203,0.011418901940311003,0.0011169910430908203,0.0001806936016371963,1,200,"{'learning_rate': 1, 'n_estimators': 200}",0.9468208092485549,0.9432870370370371,0.9337979094076655,0.9395348837209302,0.9545454545454546,0.9435933147632312,0.006961659328629508,17
4,0.05972800254821777,0.008570592888275582,0.0014226436614990234,6.62129216829598e-05,0.5,50,"{'learning_rate': 0.5, 'n_estimators': 50}",0.9479768786127167,0.9467592592592593,0.9326364692218351,0.9406976744186046,0.9592074592074592,0.9454503249767874,0.008754667458814012,6
5,0.051987838745117185,0.011483868131447245,0.001208925247192383,0.0002313489666879929,0.5,100,"{'learning_rate': 0.5, 'n_estimators': 100}",0.9491329479768786,0.9421296296296297,0.9326364692218351,0.9395348837209302,0.9568764568764568,0.9440575673166203,0.008294493397371566,14
6,0.05967445373535156,0.008856567632986794,0.0012711048126220702,0.00017132949536074918,0.5,150,"{'learning_rate': 0.5, 'n_estimators': 150}",0.9445086705202312,0.9467592592592593,0.9303135888501742,0.9383720930232559,0.9533799533799534,0.9426648096564532,0.00781535221369936,20
7,0.046785736083984376,0.006731663205851921,0.0010135650634765625,0.00015650689031559539,0.5,200,"{'learning_rate': 0.5, 'n_estimators': 200}",0.9491329479768786,0.9467592592592593,0.9314750290360047,0.9453488372093023,0.9533799533799534,0.9452181987000928,0.007387331673597427,9
8,0.06320648193359375,0.0030150744703164012,0.0013528823852539062,3.1116538441164076e-05,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9514450867052023,0.9444444444444444,0.9303135888501742,0.9383720930232559,0.9545454545454546,0.9438254410399257,0.008777672361085507,16
9,0.05294094085693359,0.008892277803022017,0.0012636184692382812,0.0002438243292300827,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9491329479768786,0.9513888888888888,0.9372822299651568,0.9337209302325581,0.9592074592074592,0.9461467038068709,0.009370355243614327,2
10,0.05958847999572754,0.008655300640160013,0.0013705730438232423,8.79919741416713e-05,0.1,150,"{'learning_rate': 0.1, 'n_estimators': 150}",0.9491329479768786,0.9479166666666666,0.9372822299651568,0.9372093023255814,0.9568764568764568,0.9456824512534819,0.007535466038827058,5
11,0.05954465866088867,0.00923702465081969,0.0012836933135986328,0.00017545368217566977,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9468208092485549,0.9479166666666666,0.9349593495934959,0.9406976744186046,0.9592074592074592,0.9459145775301764,0.008098214641151699,4
12,0.043925142288208006,0.002946126126634867,0.0009487152099609375,8.707208412562048e-06,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9502890173410404,0.9513888888888888,0.9314750290360047,0.9383720930232559,0.9522144522144522,0.9447539461467038,0.008332932949082453,12
13,0.05477571487426758,0.011367157228591572,0.001258087158203125,0.0001655031918211168,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.9468208092485549,0.9444444444444444,0.9349593495934959,0.9395348837209302,0.9522144522144522,0.9435933147632312,0.0059351739627312005,17
14,0.06320462226867676,0.002903320663366439,0.0013412952423095704,1.8637807245533027e-05,0.05,150,"{'learning_rate': 0.05, 'n_estimators': 150}",0.953757225433526,0.9444444444444444,0.9372822299651568,0.9395348837209302,0.9557109557109557,0.9461467038068709,0.007406837726137227,2
15,0.04752659797668457,0.006527684936482717,0.0010750293731689453,0.00014603615772449316,0.05,200,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9468208092485549,0.9490740740740741,0.9384436701509872,0.9430232558139535,0.9557109557109557,0.9466109563602599,0.005798238539726321,1
16,0.05098280906677246,0.012712256635149723,0.0010979175567626953,0.00019344960873616477,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.9433526011560693,0.9490740740740741,0.9396051103368177,0.936046511627907,0.9592074592074592,0.9454503249767874,0.00810511124554558,6
17,0.06322541236877441,0.0028095693974755833,0.0013217449188232422,1.5856825194601336e-05,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.9526011560693641,0.9502314814814815,0.9361207897793263,0.9348837209302325,0.9522144522144522,0.9452181987000928,0.007974679054234806,9
18,0.04963641166687012,0.006660632606687491,0.001015043258666992,0.00015456693951727656,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.945664739884393,0.9490740740740741,0.9303135888501742,0.9406976744186046,0.9592074592074592,0.9449860724233984,0.009509064871997553,11
19,0.0445441722869873,0.008538919464859329,0.0009932518005371094,0.00021942417129081413,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.945664739884393,0.9490740740740741,0.9349593495934959,0.9383720930232559,0.9522144522144522,0.9440575673166203,0.006466373293418858,14
